AnGamGeneStableID	AnGamTranscriptstableID	AnFunGeneStableID	AnFunTranscriptStableID	GeneName	GeneClass
AGAP012135	AGAP012135-RA	AFUN000168	AFUN000168-RA	Wingless	Wingless
AGAP002481	AGAP002481-RA	AFUN000841	AFUN000841-RA	Wingless	Wingless
AGAP008837	AGAP008837-RA	AFUN001000	AFUN001000-RA	Wingless	Wingless
AGAP002061	AGAP002061-RA	AFUN001672	AFUN001672-RA	Wingless	Wingless
AGAP010172	AGAP010172-RB	AFUN002221	AFUN002221-RA	Wingless	Wingless
AGAP010172	AGAP010172-RA	AFUN002221	AFUN002221-RA	Wingless	Wingless
AGAP009082	AGAP009082-RA	AFUN002929	AFUN002929-RA	Wingless	Wingless
AGAP010253	AGAP010253-RA	AFUN003140	AFUN003140-RA	Wingless	Wingless
AGAP010442	AGAP010442-RA	AFUN003483	AFUN003483-RA	Wingless	Wingless
AGAP005423	AGAP005423-RA	AFUN003738	AFUN003738-RA	Wingless	Wingless
AGAP000145	AGAP000145-RA	AFUN003878	AFUN003878-RC	Wingless	Wingless
AGAP004280	AGAP004280-RA	AFUN004195	AFUN004195-RA	Wingless	Wingless
AGAP004502	AGAP004502-RA	AFUN004459	AFUN004459-RB	Wingless	Wingless
AGAP004502	AGAP004502-RB	AFUN004459	AFUN004459-RB	Wingless	Wingless
AGAP004991	AGAP004991-RA	AFUN004669	AFUN004669-RA	Wingless	Wingless
AGAP011423	AGAP011423-RA	AFUN004914	AFUN004914-RA	Wingless	Wingless
AGAP001043	AGAP001043-RA	AFUN005701	AFUN005701-RB	Wingless	Wingless
AGAP001697	AGAP001697-RA	AFUN006084	AFUN006084-RA	Wingless	Wingless
AGAP001697	AGAP001697-RB	AFUN006084	AFUN006084-RA	Wingless	Wingless
AGAP008617	AGAP008617-RA	AFUN006639	AFUN006639-RA	Wingless	Wingless
AGAP002606	AGAP002606-RA	AFUN007058	AFUN007058-RA	Wingless	Wingless
AGAP005559	AGAP005559-RA	AFUN007442	AFUN007442-RA	Wingless	Wingless
AGAP000627	AGAP000627-RB	AFUN007570	AFUN007570-RA	Wingless	Wingless
AGAP000627	AGAP000627-RA	AFUN007570	AFUN007570-RA	Wingless	Wingless
AGAP000627	AGAP000627-RC	AFUN007570	AFUN007570-RA	Wingless	Wingless
AGAP005535	AGAP005535-RA	AFUN007641	AFUN007641-RA	Wingless	Wingless
AGAP003008	AGAP003008-RA	AFUN007900	AFUN007900-RA	Wingless	Wingless
AGAP003008	AGAP003008-RB	AFUN007900	AFUN007900-RA	Wingless	Wingless
AGAP002123	AGAP002123-RA	AFUN007943	AFUN007943-RA	Wingless	Wingless
AGAP001745	AGAP001745-RA	AFUN008116	AFUN008116-RA	Wingless	Wingless
AGAP000616	AGAP000616-RA	AFUN008140	AFUN008140-RA	Wingless	Wingless
AGAP001995	AGAP001995-RA	AFUN008275	AFUN008275-RA	Wingless	Wingless
AGAP001973	AGAP001973-RA	AFUN008299	AFUN008299-RA	Wingless	Wingless
AGAP011174	AGAP011174-RA	AFUN009548	AFUN009548-RA	Wingless	Wingless
AGAP012135	AGAP012135-RA	AFUN010543	AFUN010543-RA	Wingless	Wingless
AGAP008007	AGAP008007-RA	AFUN010642	AFUN010642-RA	Wingless	Wingless
AGAP005202	AGAP005202-RB	AFUN010828	AFUN010828-RA	Wingless	Wingless
AGAP005202	AGAP005202-RA	AFUN010828	AFUN010828-RA	Wingless	Wingless
AGAP008816	AGAP008816-RA	AFUN010903	AFUN010903-RA	Wingless	Wingless
AGAP011557	AGAP011557-RA	AFUN011185	AFUN011185-RA	Wingless	Wingless
AGAP003935	AGAP003935-RA	AFUN011238	AFUN011238-RA	Wingless	Wingless
AGAP007927	AGAP007927-RA	AFUN014381	AFUN014381-RA	Wingless	Wingless
AGAP003997	AGAP003997-RD	AFUN016361	AFUN016361-RD	Wingless	Wingless
AGAP003997	AGAP003997-RB	AFUN016361	AFUN016361-RD	Wingless	Wingless
AGAP003997	AGAP003997-RA	AFUN016361	AFUN016361-RD	Wingless	Wingless
AGAP003997	AGAP003997-RC	AFUN016361	AFUN016361-RD	Wingless	Wingless
AGAP001440	AGAP001440-RB	AFUN016473	AFUN016473-RA	Wingless	Wingless
AGAP001440	AGAP001440-RA	AFUN016473	AFUN016473-RA	Wingless	Wingless
AGAP012135	AGAP012135-RA	AFUN019029	AFUN019029-RA	Wingless	Wingless
